,0
83,"Pensaban que Alverso el moderado era quien manda y tiene la lapicera? Inocentes palomitas...

#GobiernoCriminalyCorrupto 

Graciela Ocaña: ""Alberto Fernández no echó a Luana Volnovich porque no tuvo el visto bueno de Cristina y Máximo Kirchner"" https://t.co/n9RZKzgw3F"
84,"POLÍTICA 🇦🇷

Alberto Fernández recibió al nuevo embajador de Estados Unidos"
85,"El índice de confianza en el gobierno de Alberto Fernández continúa en niveles muy bajos -fue de 1,54 en enero- y actualmente es 22% . Suiempre hay locos buenos, malos y otros desquiciados...bueh, imaginen a qué 3°grupo es ese 22%."
86,"📣Argentina acelera vacunación contra el covid-19 en la población escolar para clases presenciales seguras

«La prioridad es que este año haya escolaridad y presencialidad para todos los jóvenes argentinos"", dijo el Presidente Alberto Fernández.
https://t.co/z69PLK44cG"
87,"Pichetto, muy duro con Alberto Fernández por su viaje a Rusia en pleno conflicto bélico: “El Gobierno está sin rumbo”"
88,"En medio de la negociaciones con el FMI, Alberto Fernández recibió al nuevo embajador de EEUU"
89,"SIIIIII QUE SEA OBLIGATORIA 
Vacunación obligatoria: Axel Kicillof se diferenció de Alberto Fernández y pide discutir el proyecto https://t.co/h7OEjgKxZo"
90,"Gesto de Fernández a Estados Unidos: recibió al nuevo embajador en Casa Rosada

https://t.co/aOnFD3iD83"
91,"Alberto Fernández, sobre el acuerdo con el FMI: ""Tenemos derecho a crecer como nosotros queremos""  https://t.co/zFrSvmBFlv"
92,"Alberto Fernández recibió las cartas credenciales del nuevo embajador de EE.UU.
https://t.co/4AFPZ9vL1h https://t.co/DwLLUhpv4R"
93,¿Ya renunció Alberto Fernández o piensa seguir hundiendo el país?
94,"🟣 CHINA 
El 5 de febrero, el presidente Alberto Fernández se encontrará con el presidente de China, Xi Jinping, y presenciará la apertura de los Juegos Olímpicos en Beijing."
95,Gesto de Alberto Fernández a #EEUU : recibió al nuevo embajador que le entregó sus cartas credenciales #AlbertoFernández  https://t.co/a2uuANo2Su
96,"Garbarino 
Zara
Falabella
Sodimac
Walmart
LATAM
Globo
#ElPeorPresidenteDeLaHistoria 
Alberto Fernández"
97,"#visita #oficial 
Alberto Fernández suma una escala oficial en Barbados a su regreso de Rusia y China
https://t.co/AfWYWnZP5a"
98,"#GobiernoDeMierda
#ElPeorPresidenteDeLaHistoria

Alberto Fernández y la educación, según pasan los años

El Presidente habló de la deserción escolar generada por la cuarentena. Hace dos años decía: “Nadie sufrió por recibirse un año antes o un año después” https://t.co/rhAUbUEC2t"
99,"Alberto Fernández se reunirá este miércoles con el secretario de Energía, Darío Martínez.

https://t.co/ql9rbh4XiJ"
0,"¿Hubo algún acuerdo con el FMI que haya sido beneficioso para la Argentina? (No es pregunta retórica, quizá algún historiador económico de esta red me pueda desaznar)."
1,"#Economía Argentina enfrenta una semana clave con el FMI: debe pagar U$S 731 millones
#Argentina #FMI #deuda 

Más info 👇 https://t.co/5P3cjzZMUD"
2,"@tanodinardo @HenryChinaski67 Crearon la deuda con el FMI, la deuda en si viene en aumento hace años. O pensaste que era verdad que la Argentina estaba desendeudada?"
3,Qué podría hacerse en la Argentina con los u$s20 mil millones que se debería pagar este año al FMI https://t.co/mBtcYrKsPd
4,"Hay que pagarle al FMI, pero no en los próximos dos años, fue un gravísimo error haber pagado intereses sin acuerdo
Argentina se creyó el cuentito de la ""amiga"" Cristalina
Están decididos a voltear a este gobierno c/s acuerdo, si toca morir que sea con las botas puestas"
5,"Tuvimos Ministros de Economia inutiles.
Muchos hicieron cagadas, pero el de ahora no.
En toda sus gestión solo hizo tiempo con el FMI.
NO TIENE PLAN ECONOMICO. 
Y TAMPOCO CEREBRO.

https://t.co/HbDNNR0k4l

#inutil #Economia #guzman #FMI #Argentina"
6,"El próximo viernes y martes Argentina DEBERÍA girar al FMI U$S 1100 millones de sus exiguas reservas.
Que hará el gobierno?"
7,Hasta el año 2021 llevamos 21 acuerdos Argentina con el FMI. Todos ruinosos para el país. Sin excepciones. https://t.co/CH1wPgTixM
8,"¿El FMI es feminista? ¿Se interesa por pisos de seguridad social y por impuestos más progresivos? 

💸Escuchalo en el E3 de #LoPrometidoEsDeuda: https://t.co/xp9usBLpIZ

Voces invitadas: Corina Rodríguez Enríquez, Pato Laterra, @luciacavallero8, @parezco_amanita https://t.co/8oKmLuELXt"
